codigo_ocorrencia3;fator_nome;fator_aspecto;fator_condicionante;fator_area
81624;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81624;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
81624;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81624;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81345;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81345;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81345;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81345;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81327;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81327;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81327;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81221;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81221;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81221;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
81195;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81195;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81195;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
81195;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81195;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81195;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
81172;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81172;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81172;PUBLICACOES (ATS);INFRAESTRUTURA DE TRAFEGO AEREO;***;FATOR OPERACIONAL
81169;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81169;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81169;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81169;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81140;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81140;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81140;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81140;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
81140;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81138;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81138;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
81138;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81138;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81135;OUTRO FATOR;OUTRO;***;OUTRO
81120;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81120;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81120;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81120;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81120;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
81120;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81120;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81120;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
81086;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81086;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
81086;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81021;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81021;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81021;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
81021;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80980;OUTRO FATOR;OUTRO;***;OUTRO
80979;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80979;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80979;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80979;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80959;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80959;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80959;DINAMICA DE EQUIPE;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
80959;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80959;LIMITE DE AUTORIZACAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80959;PLANEJAMENTO DE TRAFEGO (ATS);DESEMPENHO DO SER HUMANO;PRESTACAO DE SERVICOS DE TRAFEGO AEREO;FATOR OPERACIONAL
80959;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80959;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80959;SUPERVISAO (ATS);DESEMPENHO DO SER HUMANO;PRESTACAO DE SERVICOS DE TRAFEGO AEREO;FATOR OPERACIONAL
80942;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80942;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80942;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80917;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80917;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80917;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80916;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80916;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80885;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80885;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80885;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80836;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80820;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80820;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80820;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80820;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80756;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80739;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80739;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80739;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80739;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80689;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80689;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80689;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80672;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80672;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
