codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
81172;IG-143/CENIPA/2022 - 01;2023-11-22;2023-11-27;NULL;Avaliar a pertinencia de revisar a ICA 100-37 - aServiaos de Trafegoa, com o fito deacrescentar orientaaaes claras aos controladores de trafego aareo no sentido de instruiradequadamente as aeronaves que estejam se aproximando para areas diferentes daquelasdesignadas para pouso a executarem uma arremetida ou procedimento de aproximaaaoperdida, a exemplo do que trata a publicaaao para os temas de incursao e/ou presenaa deobstaculos na pista.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
81021;A-111/CENIPA/2022 - 01;2023-08-15;2023-09-11;NULL;Atuar junto a Empresa Piqueri Aero Agracola Ltda., a fim de verificar se o processo previsto no MGSO referente ao gerenciamento do risco na operaaao de decolagem em area de pouso para uso aeroagracola atendem aos requisitos de seguranaa para este tipo de operaaao.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80959;IG-109/CENIPA/2022 - 01;2023-09-22;2023-10-09;2024-01-02;Divulgar os ensinamentos colhidos nesta investigaaao ao Provedor de Serviao de Navegaaao Aarea (PSNA) do Aeradromo Santa Genoveva (SBGO), a fim de que aquele Provedor, durante os eventos de promoaao da seguranaa operacional internos, reforce a necessidade de realizar um bom planejamento para o sequenciamento de pouso,contemplando, dentre outras, performances de aeronaves, regras de voo, posiaao das aeronaves, condiaaes meteorolagicas e, em especial, prioridades para o pouso, conforme disposto no item 6.14.3 da ICA 100-37/2020.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80917;IG-089/CENIPA/2020 - 01;2023-08-15;2023-09-11;2024-01-02;Atuar junto ao Instituto de Cartografia Aeronautica (ICA) de modo a reforaar o alerta quanto a possibilidade de pouso na Taxiway aJa por meio de nota Remark (RMK - observaaao) nas cartas Visual Approach Chart (VAC- carta de aproximaaao visual) e Instrument Approach Chart (IAC - carta de aproximaaao por instrumentos).;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80916;A-109/CENIPA/2022 - 01;2023-11-17;2023-11-17;NULL;Divulgar os ensinamentos colhidos nesta investigaaao a Pioneira Comarcio e Representaaao de Produtos Agracolas Ltda.-ME, a fim de que aquele operador se conscientize sobre a necessidade do cumprimento dos requisitos estabelecidos pela Autoridade de Aviaaao Civil, os quais representam os padraes manimos de seguranaa estabelecidos pelo Estado Brasileiro.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80885;A-086/CENIPA/2022 - 01;2023-08-15;2023-09-11;2023-12-20;Atuar junto ao operador do Aeradromo Sebastiao Josa Pereira (SIPO) com o objetivo de verificar a necessidade de alteraaao cadastral das modificaaaes das caracterasticas fasicas realizadas no referido aeradromo, a fim de divulga-las aos operadores por meio do ROTAER.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80672;A-054/CENIPA/2022 - 01;2023-11-22;2023-11-27;NULL;Divulgar os ensinamentos colhidos nesta investigaaao a Andrade Aviaaao Agracola Ltda., afim de que aquele operador aprimore seus mecanismos de supervisao gerencial, objetivando garantir a manutenaao de naveis adequados de seguranaa operacional, particularmente no que concerne as atividades de planejamento e de execuaao dos voos conduzidos por suas aeronaves.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80647;IG-047/CENIPA/2022 - 01;2023-04-17;2023-04-25;2023-08-09;Atuar junto a empresa Rio Branco Aerotaxi Ltda., a fim de que aquele operador aprimore o Sistema de Gerenciamento de Seguranaa Operacional (SGSO) adotado, sobretudo no que diz respeito aos mecanismos de supervisao gerencial e gerenciamento de risco de suas operaaaes.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80610;A-038/CENIPA/2022 - 01;2023-03-23;2023-04-10;NULL;Atuar junto a empresa G2 Aeroagracola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a seguranaa operacional entre seus pilotos, de modo a mitigar os riscos da operaaao de forma proativa.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80581;A-032/CENIPA/2022 - 01;2023-05-31;2023-05-31;2023-06-02;Divulgar os ensinamentos contidos nesta investigaaao aos Centros de Instruaao de Aviaaao Civil (CIAC), no sentido de recomendar a inclusao/reforao no seu programa de instruaao, enfatizando a importancia da reciclagem e manutenaao do conhecimento tearico da aeronave.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
